date,motion status
2017-02-18 05:58:11 PM,...
2017-02-18 05:58:13 PM,...
2017-02-18 05:58:15 PM,...
2017-02-18 05:58:17 PM,MOTION DETECTED
2017-02-18 05:58:19 PM,MOTION DETECTED
2017-02-18 05:58:21 PM,...
2017-02-18 05:58:23 PM,...
2017-02-18 05:58:25 PM,...
2017-02-18 05:58:27 PM,MOTION DETECTED
2017-02-18 05:58:29 PM,...
2017-02-18 05:58:31 PM,...
2017-02-18 05:58:33 PM,...
2017-02-18 05:58:35 PM,MOTION DETECTED
2017-02-18 05:58:37 PM,...
2017-02-18 05:58:39 PM,...
2017-02-18 05:58:41 PM,...
2017-02-18 05:58:43 PM,MOTION DETECTED
2017-02-18 05:58:45 PM,...
2017-02-18 05:58:47 PM,...
2017-02-18 05:58:49 PM,...
2017-02-18 05:58:51 PM,MOTION DETECTED
2017-02-18 05:58:53 PM,MOTION DETECTED
2017-02-18 05:58:55 PM,...
2017-02-18 05:58:57 PM,...
2017-02-18 05:58:59 PM,...
2017-02-18 05:59:01 PM,MOTION DETECTED
2017-02-18 05:59:03 PM,...
2017-02-18 05:59:05 PM,...
2017-02-18 05:59:07 PM,...
2017-02-18 05:59:09 PM,...
2017-02-18 05:59:11 PM,...
2017-02-18 05:59:13 PM,...
2017-02-18 05:59:15 PM,MOTION DETECTED
2017-02-18 05:59:17 PM,...
2017-02-18 05:59:19 PM,...
2017-02-18 05:59:21 PM,...
2017-02-18 05:59:23 PM,...
2017-02-18 05:59:25 PM,MOTION DETECTED
2017-02-18 05:59:27 PM,...
2017-02-18 05:59:29 PM,...
2017-02-18 05:59:31 PM,...
2017-02-18 05:59:33 PM,MOTION DETECTED
2017-02-18 05:59:35 PM,...
2017-02-18 05:59:37 PM,...
2017-02-18 05:59:39 PM,...
2017-02-18 05:59:41 PM,...
2017-02-18 05:59:43 PM,MOTION DETECTED
2017-02-18 05:59:45 PM,...
2017-02-18 05:59:47 PM,...
2017-02-18 05:59:49 PM,...
2017-02-18 05:59:51 PM,MOTION DETECTED
2017-02-18 05:59:53 PM,MOTION DETECTED
2017-02-18 05:59:55 PM,...
2017-02-18 05:59:57 PM,...
2017-02-18 05:59:59 PM,...
2017-02-18 06:00:01 PM,...
2017-02-18 06:00:03 PM,MOTION DETECTED
2017-02-18 06:00:05 PM,...
2017-02-18 06:00:07 PM,...
2017-02-18 06:00:09 PM,...
2017-02-18 06:00:11 PM,...
2017-02-18 06:00:13 PM,MOTION DETECTED
2017-02-18 06:00:15 PM,...
2017-02-18 06:00:17 PM,...
2017-02-18 06:00:19 PM,...
2017-02-18 06:00:21 PM,MOTION DETECTED
2017-02-18 06:00:23 PM,MOTION DETECTED
2017-02-18 06:00:25 PM,...
2017-02-18 06:00:27 PM,...
2017-02-18 06:00:29 PM,...
2017-02-18 06:00:31 PM,MOTION DETECTED
2017-02-18 06:00:33 PM,...
2017-02-18 06:00:35 PM,...
2017-02-18 06:00:37 PM,...
2017-02-18 06:00:39 PM,MOTION DETECTED
2017-02-18 06:00:41 PM,...
2017-02-18 06:00:43 PM,...
2017-02-18 06:00:45 PM,...
2017-02-18 06:00:47 PM,MOTION DETECTED
2017-02-18 06:00:49 PM,MOTION DETECTED
2017-02-18 06:00:51 PM,...
2017-02-18 06:00:53 PM,...
2017-02-18 06:00:55 PM,...
2017-02-18 06:00:57 PM,...
2017-02-18 06:00:59 PM,...
2017-02-18 06:01:01 PM,MOTION DETECTED
2017-02-18 06:01:03 PM,MOTION DETECTED
2017-02-18 06:01:05 PM,...
2017-02-18 06:01:07 PM,...
2017-02-18 06:01:09 PM,MOTION DETECTED
2017-02-18 06:01:11 PM,MOTION DETECTED
2017-02-18 06:01:13 PM,...
2017-02-18 06:01:15 PM,...
2017-02-18 06:01:17 PM,...
2017-02-18 06:01:19 PM,...
2017-02-18 06:01:21 PM,MOTION DETECTED
2017-02-18 06:01:23 PM,...
2017-02-18 06:01:25 PM,...
2017-02-18 06:01:27 PM,...
2017-02-18 06:01:29 PM,MOTION DETECTED
2017-02-18 06:01:31 PM,MOTION DETECTED
2017-02-18 06:01:33 PM,...
2017-02-18 06:01:35 PM,...
2017-02-18 06:01:37 PM,...
2017-02-18 06:01:39 PM,MOTION DETECTED
2017-02-18 06:01:41 PM,...
2017-02-18 06:01:43 PM,...
2017-02-18 06:01:45 PM,...
2017-02-18 06:01:47 PM,MOTION DETECTED
2017-02-18 06:01:49 PM,MOTION DETECTED
2017-02-18 06:01:51 PM,...
2017-02-18 06:01:53 PM,...
2017-02-18 06:01:55 PM,MOTION DETECTED
2017-02-18 06:01:57 PM,MOTION DETECTED
2017-02-18 06:01:59 PM,...
2017-02-18 06:02:01 PM,...
2017-02-18 06:02:03 PM,...
2017-02-18 06:02:05 PM,...
2017-02-18 06:02:07 PM,MOTION DETECTED
2017-02-18 06:02:09 PM,MOTION DETECTED
2017-02-18 06:02:11 PM,...
2017-02-18 06:02:13 PM,...
2017-02-18 06:02:15 PM,...
2017-02-18 06:02:17 PM,MOTION DETECTED
2017-02-18 06:02:19 PM,...
2017-02-18 06:02:21 PM,...
2017-02-18 06:02:23 PM,...
2017-02-18 06:02:25 PM,...
2017-02-18 06:02:27 PM,MOTION DETECTED
2017-02-18 06:02:29 PM,...
2017-02-18 06:02:31 PM,...
2017-02-18 06:02:33 PM,...
2017-02-18 06:02:35 PM,...
2017-02-18 06:02:37 PM,MOTION DETECTED
2017-02-18 06:02:39 PM,...
2017-02-18 06:02:41 PM,...
2017-02-18 06:02:43 PM,...
2017-02-18 06:02:45 PM,MOTION DETECTED
2017-02-18 06:02:47 PM,MOTION DETECTED
2017-02-18 06:02:49 PM,...
2017-02-18 06:02:51 PM,...
2017-02-18 06:02:53 PM,...
2017-02-18 06:02:55 PM,MOTION DETECTED
2017-02-18 06:02:57 PM,...
2017-02-18 06:02:59 PM,...
2017-02-18 06:03:02 PM,...
2017-02-18 06:03:04 PM,...
2017-02-18 06:03:06 PM,MOTION DETECTED
2017-02-18 06:03:08 PM,...
2017-02-18 06:03:10 PM,...
2017-02-18 06:03:12 PM,...
2017-02-18 06:03:14 PM,MOTION DETECTED
2017-02-18 06:03:16 PM,...
2017-02-18 06:03:18 PM,...
2017-02-18 06:03:20 PM,...
2017-02-18 06:03:22 PM,...
2017-02-18 06:03:24 PM,MOTION DETECTED
2017-02-18 06:03:26 PM,...
2017-02-18 06:03:28 PM,...
2017-02-18 06:03:30 PM,...
